Codi,Nom,CodiProvíncia
051380,Muñogalindo,05
051393,Muñogrande,05
051407,MuñomerdelPeco,05
051414,Muñopepe,05
051429,Muñosancho,05
051435,Muñotello,05
051440,NarrillosdelÁlamo,05
051453,NarrillosdelRebollar,05
051472,NarrosdelCastillo,05
051488,NarrosdelPuerto,05
051491,NarrosdeSaldueña,05
051511,NavacepedilladeCorneja,05
051526,NavadeArévalo,05
051532,NavadelBarco,05
051547,Navadijos,05
051550,Navaescurial,05
051563,Navahondilla,05
051579,Navalacruz,05
051585,Navalmoral,05
051598,Navalonguilla,05
051602,Navalosa,05
051619,NavalperaldePinares,05
051624,NavalperaldeTormes,05
051630,Navaluenga,05
051645,Navaquesera,05
051658,NavarredondadeGredos,05
051661,Navarredondilla,05
051677,Navarrevisca,05
051683,NavasdelMarqués,Las,05
051696,Navatalgordo,05
051700,Navatejares,05
051717,NeiladeSanMiguel,05
051722,Niharra,05
051738,Ojos-Albos,05
051743,Orbita,05
051756,Oso,El,05
051769,Padiernos,05
051775,PajaresdeAdaja,05
051781,PalaciosdeGoda,05
051794,Papatrigo,05
051808,Parral,El,05
051815,Pascualcobo,05
051820,PedroBernardo,05
051836,Pedro-Rodríguez,05
051841,Peguerinos,05
051854,PeñalbadeÁvila,05
051867,Piedrahíta,05
051873,Piedralaves,05
051889,Poveda,05
051892,PoyalesdelHoyo,05
051906,Pozanco,05
051913,Pradosegar,05
051928,PuertoCastilla,05
051934,Rasueros,05
051949,Riocabado,05
051952,Riofrío,05
051965,RivilladeBarajas,05
051971,Salobral,05
051987,Salvadiós,05
051990,SanBartolomédeBéjar,05
052004,SanBartolomédeCorneja,05
052011,SanBartolomédePinares,05
052047,Sanchidrián,05
052050,Sanchorreja,05
052063,SanEstebandelosPatos,05
052079,SanEstebandelValle,05
052085,SanEstebandeZapardiel,05
052098,SanGarcíadeIngelmos,05
052102,SanJuandelaEncinilla,05
052119,SanJuandelaNava,05
052124,SanJuandelMolinillo,05
052130,SanJuandelOlmo,05
052145,SanLorenzodeTormes,05
052158,SanMartíndelaVegadelAlberche,05
052161,SanMartíndelPimpollar,05
052177,SanMigueldeCorneja,05
052183,SanMigueldeSerrezuela,05
052196,SanPascual,05
052200,SanPedrodelArroyo,05
052217,SantaCruzdelValle,05
052222,SantaCruzdePinares,05
052243,SantaMaríadelArroyo,05
052256,SantaMaríadelBerrocal,05
052269,SantaMaríadelosCaballeros,05
052275,SantaMaríadelTiétar,05
052281,SantiagodelCollado,05
052294,SantoDomingodelasPosadas,05
052308,SantoTomédeZabarcos,05
052315,SanVicentedeArévalo,05
052320,Serrada,La,05
052336,Serranillos,05
052341,Sigeres,05
052354,Sinlabajos,05
052367,SolanadeÁvila,05
052373,SolanadeRioalmar,05
052389,Solosancho,05
052392,Sotalbo,05
052406,SotillodelaAdrada,05
052413,Tiemblo,El,05
052428,Tiñosillos,05
052434,Tolbaños,05
052449,Tormellas,05
052452,TornadizosdeÁvila,05
052465,Tórtoles,05
052471,Torre,La,05
052490,Umbrías,05
052510,VadillodelaSierra,05
052525,Valdecasa,05
052531,VegadeSantaMaría,05
052546,Velayos,05
052562,Villaflor,05
052578,VillafrancadelaSierra,05
052584,VillanuevadeGómez,05
052597,VillanuevadelAceral,05
052601,VillanuevadelCampillo,05
052618,VillardeCorneja,05
052623,VillarejodelValle,05
052639,Villatoro,05
052644,ViñegradeMoraña,05
052657,Vita,05
052660,ZapardieldelaCañada,05
052676,ZapardieldelaRibera,05
059014,SanJuandeGredos,05
059029,SantaMaríadelCubillo,05
059035,DiegodelCarpio,05
059040,SantiagodelTormes,05
059053,VillanuevadeÁvila,05
060016,Acedera,06
060021,Aceuchal,06
060037,Ahillones,06
060042,Alange,06
060055,Albuera,La,06
060068,Alburquerque,06
060074,Alconchel,06
060080,Alconera,06
060093,Aljucén,06
060107,Almendral,06
060114,Almendralejo,06
060129,ArroyodeSanServán,06
060135,Atalaya,06
060140,Azuaga,06
060153,Badajoz,06
060166,Barcarrota,06
060172,Baterno,06
060188,BenquerenciadelaSerena,06
060191,Berlanga,06
060205,Bienvenida,06
060212,BodonaldelaSierra,06
060227,BurguillosdelCerro,06
060233,CabezadelBuey,06
060248,CabezalaVaca,06
060251,Calamonte,06
060264,CaleradeLeón,06
060270,CalzadilladelosBarros,06
060286,Campanario,06
060299,CampillodeLlerena,06
060303,Capilla,06
060310,Carmonita,06
060325,Carrascalejo,El,06
060331,CasasdeDonPedro,06
060346,CasasdeReina,06
060359,Castilblanco,06
060362,Castuera,06
060378,Codosera,La,06
060384,CordobilladeLácara,06
060397,Coronada,La,06
060401,CortedePeleas,06
060418,Cristina,06
060423,Cheles,06
060439,DonÁlvaro,06
060444,DonBenito,06
060457,EntrínBajo,06
060460,Esparragalejo,06
060476,EsparragosadelaSerena,06
060482,EsparragosadeLares,06
060495,Feria,06
060508,FregenaldelaSierra,06
060515,FuenlabradadelosMontes,06
060520,FuentedeCantos,06
060536,FuentedelArco,06
060541,FuentedelMaestre,06
060554,FuentesdeLeón,06
060567,Garbayuela,06
060573,Garlitos,06
060589,Garrovilla,La,06
060592,GranjadeTorrehermosa,06
060606,Guareña,06
060613,Haba,La,06
060628,HelechosadelosMontes,06
060634,HerreradelDuque,06
060649,HigueradelaSerena,06
060652,HigueradeLlerena,06
060665,HigueradeVargas,06
060671,HigueralaReal,06
060687,HinojosadelValle,06
060690,Hornachos,06
060704,JerezdelosCaballeros,06
060711,Lapa,La,06
060726,Lobón,06
060732,Llera,06
060747,Llerena,06
060750,Magacela,06
060763,Maguilla,06
060779,Malcocinado,06
060785,MalpartidadelaSerena,06
060798,Manchita,06
060802,Medellín,06
060819,MedinadelasTorres,06
060824,Mengabril,06
060830,Mérida,06
060845,Mirandilla,06
060858,Monesterio,06
060861,Montemolín,06
060877,MonterrubiodelaSerena,06
060883,Montijo,06
060896,Morera,La,06
060900,NavadeSantiago,La,06
060917,NavalvillardePela,06
060922,Nogales,06
060938,OlivadelaFrontera,06
060943,OlivadeMérida,06
060956,Olivenza,06
060969,OrellanadelaSierra,06
060975,OrellanalaVieja,06
060981,Palomas,06
060994,Parra,La,06
061008,Peñalsordo,06
061015,PeraledadelZaucejo,06
061020,PuebladeAlcocer,06
061036,PuebladelaCalzada,06
061041,PuebladelaReina,06
061054,PuebladelMaestre,06
061067,PuebladelPrior,06
061073,PuebladeObando,06
061089,PuebladeSanchoPérez,06
061092,QuintanadelaSerena,06
061106,Reina,06
061113,Rena,06
061128,RetamaldeLlerena,06
061134,RiberadelFresno,06
061149,Risco,06
061152,RocadelaSierra,La,06
061165,Salvaleón,06
061171,SalvatierradelosBarros,06
061187,Sancti-Spíritus,06
061190,SanPedrodeMérida,06
061204,SantaAmalia,06
061211,SantaMarta,06
061226,SantosdeMaimona,Los,06
061232,SanVicentedeAlcántara,06
061247,SeguradeLeón,06
061250,Siruela,06
061263,SolanadelosBarros,06
061279,Talarrubias,06
061285,TalaveralaReal,06
061298,Táliga,06
061302,Tamurejo,06
061319,TorredeMiguelSesmero,06
061324,Torremayor,06
061330,Torremejía,06
061345,Trasierra,06
061358,Trujillanos,06
061361,Usagre,06
061377,Valdecaballeros,06
061383,Valdetorres,06
061396,ValenciadelasTorres,06
061400,ValenciadelMombuey,06
061417,ValenciadelVentoso,06
061422,ValverdedeBurguillos,06
061438,ValverdedeLeganés,06
061443,ValverdedeLlerena,06
061456,ValverdedeMérida,06
061469,ValledelaSerena,06
061475,ValledeMatamoros,06
061481,ValledeSantaAna,06
061494,VillafrancadelosBarros,06
061507,VillagarcíadelaTorre,06
061514,Villagonzalo,06
061529,VillalbadelosBarros,06
061535,VillanuevadelaSerena,06
061540,VillanuevadelFresno,06
061553,VillardelRey,06
061566,VillardeRena,06
061572,VillartadelosMontes,06
061588,Zafra,06
061591,Zahínos,06
061605,ZalameadelaSerena,06
061612,Zarza-Capilla,06
061627,Zarza,La,06
069017,Valdelacalzada,06
069022,PueblonuevodelGuadiana,06
069038,Guadiana,06
070012,Alaró,07
070027,Alaior,07
070033,Alcúdia,07
070048,Algaida,07
070051,Andratx,07
070064,Artà,07
070070,Banyalbufar,07
070086,Binissalem,07
070099,Búger,07
070103,Bunyola,07
070110,Calvià,07
070125,Campanet,07
070131,Campos,07
070146,Capdepera,07
070159,CiutadelladeMenorca,07
070162,Consell,07
070178,Costitx,07
070184,Deià,07
070197,Escorca,07
070201,Esporles,07
070218,Estellencs,07
070223,Felanitx,07
070239,Ferreries,07
070244,Formentera,07
070257,Fornalutx,07
070260,Eivissa,07
070276,Inca,07
070282,LloretdeVistalegre,07
070295,Lloseta,07
070309,Llubí,07
070316,Llucmajor,07
070321,Maó,07
070337,Manacor,07
070342,MancordelaVall,07
070355,MariadelaSalut,07
070368,Marratxí,07
070374,Mercadal,es,07
070380,Montuïri,07
070393,Muro,07
070407,Palma,07
070414,Petra,07
070429,Pollença,07
070435,Porreres,07
070440,Pobla,sa,07
070453,Puigpunyent,07
070466,SantAntonidePortmany,07
070472,Sencelles,07
070488,SantJosepdesaTalaia,07
070491,SantJoan,07
070504,SantJoandeLabritja,07
070511,SantLlorençdesCardassar,07
070526,SantLluís,07
070532,SantaEugènia,07
070547,SantaEulàriadesRiu,07
070550,SantaMargalida,07
070563,SantaMaríadelCamí,07
070579,Santanyí,07
070585,Selva,07
070598,Salines,ses,07
070602,Sineu,07
070619,Sóller,07
070624,SonServera,07
070630,Valldemossa,07
070645,Castell,es,07
070658,VilafrancadeBonany,07
079013,Ariany,07
079028,MigjornGran,es,07
080018,Abrera,08
080023,AguilardeSegarra,08
080039,Alella,08
080044,Alpens,08
080057,AmetlladelVallès,l,08
080060,ArenysdeMar,08
080076,ArenysdeMunt,08
080082,Argençola,08
080095,Argentona,08
080109,Artés,08
080116,Avià,08
080121,Avinyó,08
080137,AvinyonetdelPenedès,08
080142,Aiguafreda,08
080155,Badalona,08
080168,Bagà,08
080174,Balenyà,08
080180,Balsareny,08
080193,Barcelona,08
080207,Begues,08
080214,Bellprat,08
080229,Berga,08
080235,BiguesiRiellsdelFai,08
080240,Borredà,08
080253,Bruc,el,08
080266,Brull,el,08
080272,Cabanyes,les,08
080288,CabreradAnoia,08
080291,CabreradeMar,08
080305,Cabrils,08
080312,Calaf,08
080327,CaldesdEstrac,08
080333,CaldesdeMontbui,08
080348,Calders,08
080351,Calella,08
080364,CalongedeSegarra,08
080370,Calldetenes,08
080386,Callús,08
080399,Campins,08
080403,CanetdeMar,08
080410,Canovelles,08
080425,CànovesiSamalús,08
080431,Canyelles,08
080446,Capellades,08
080459,Capolat,08
080462,Cardedeu,08
080478,Cardona,08
080484,Carme,08
080497,Casserres,08
080500,CastellardelRiu,08
080517,CastellardelVallès,08
080522,CastellardenHug,08
080538,CastellbellielVilar,08
080543,Castellbisbal,08
080556,Castellcir,08
080569,Castelldefels,08
080575,CastelldelAreny,08
080581,CastelletilaGornal,08
080594,CastellfollitdelBoix,08
080608,CastellfollitdeRiubregós,08
080615,Castellgalí,08
080620,CastellnoudeBages,08
080636,Castellolí,08
080641,Castellterçol,08
080654,CastellvídelaMarca,08
080667,CastellvídeRosanes,08
080673,Centelles,08
080689,Cervelló,08
080692,Collbató,08
080706,Collsuspina,08
080713,Copons,08
080728,CorberadeLlobregat,08
080734,CornellàdeLlobregat,08
080749,Cubelles,08
080752,Dosrius,08
080765,Esparreguera,08
080771,EspluguesdeLlobregat,08
080787,Espunyola,l,08
080790,Estany,l,08
080804,Fígols,08
080811,FogarsdeMontclús,08
080826,FogarsdelaSelva,08
080832,Folgueroles,08
080847,Fonollosa,08
080850,Font-rubí,08
080863,FranquesesdelVallès,les,08
080879,Gallifa,08
080885,Garriga,la,08
080898,Gavà,08
080902,Gaià,08
080919,Gelida,08
080924,Gironella,08
080930,Gisclareny,08
080945,Granada,la,08
080958,Granera,08
080961,Granollers,08
080977,Gualba,08
080983,SantSalvadordeGuardiola,08
080996,GuardioladeBerguedà,08
081000,Gurb,08
081017,HospitaletdeLlobregat,l,08
081022,Igualada,08
081038,Jorba,08
081043,Llacuna,la,08
081056,Llagosta,la,08
081069,LlinarsdelVallès,08
081075,LliçàdAmunt,08
081081,LliçàdeVall,08
081094,Lluçà,08
081108,MalgratdeMar,08
081115,Malla,08
081120,Manlleu,08
081136,Manresa,08
081141,Martorell,08
081154,Martorelles,08
081167,MasiesdeRoda,les,08
081173,MasiesdeVoltregà,les,08
081189,Masnou,el,08
081192,Masquefa,08
081206,Matadepera,08
081213,Mataró,08
081228,Mediona,08
081234,MolinsdeRei,08
081249,MolletdelVallès,08
081252,MontcadaiReixac,08
081265,Montgat,08
081271,MonistroldeMontserrat,08
081287,MonistroldeCalders,08
081290,Muntanyola,08
081304,Montclar,08
081311,Montesquiu,08
081326,Montmajor,08
081332,Montmaneu,08
081347,Figaró-Montmany,08
081350,Montmeló,08
081363,MontornèsdelVallès,08
081379,Montseny,08
081385,Moià,08
081398,Mura,08
081402,Navarcles,08
081419,Navàs,08
081424,NoudeBerguedà,la,08
081430,Òdena,08
081445,Olvan,08
081458,Olèrdola,08
081461,OlesadeBonesvalls,08
081477,OlesadeMontserrat,08
081483,Olivella,08
081496,Olost,08
081509,Orís,08
081516,Oristà,08
081521,Orpí,08
081537,Òrrius,08
081542,PacsdelPenedès,08
081555,Palafolls,08
081568,Palau-solitàiPlegamans,08
081574,Pallejà,08
081580,Papiol,el,08
081593,ParetsdelVallès,08
081607,Perafita,08
081614,Piera,08
081629,HostaletsdePierola,els,08
081635,PinedadeMar,08
081640,PladelPenedès,el,08
081653,PobladeClaramunt,la,08
081666,PobladeLillet,la,08
081672,Polinyà,08
081688,Pontons,08
081691,PratdeLlobregat,el,08
081705,PratsdeRei,els,08
081712,PratsdeLluçanès,08
081727,PremiàdeMar,08
081748,Puigdàlber,08
081751,Puig-reig,08
081764,Pujalt,08
081770,Quar,la,08
081786,Rajadell,08
081799,Rellinars,08
081803,Ripollet,08
081810,RocadelVallès,la,08
081825,PontdeVilomaraiRocafort,el,08
081831,RodadeTer,08
081846,Rubí,08
081859,Rubió,08
081878,Sabadell,08
081884,Sagàs,08
081897,SantPereSallavinera,08
081901,Saldes,08
081918,Sallent,08
081923,Santpedor,08
081939,SantIscledeVallalta,08
081944,SantAdriàdeBesòs,08
081957,SantAgustídeLluçanès,08
081960,SantAndreudelaBarca,08
081976,SantAndreudeLlavaneres,08
081982,SantAntonideVilamajor,08
081995,SantBartomeudelGrau,08
082009,SantBoideLlobregat,08
082016,SantBoideLluçanès,08
082021,SantCeloni,08
082037,SantCebriàdeVallalta,08
082042,SantClimentdeLlobregat,08
082055,SantCugatdelVallès,08
082068,SantCugatSesgarrigues,08
082074,SantEstevedePalautordera,08
082080,SantEsteveSesrovires,08
082093,SantFostdeCampsentelles,08
082107,SantFeliudeCodines,08
082114,SantFeliudeLlobregat,08
082129,SantFeliuSasserra,08
082135,SantFruitósdeBages,08
082140,VilassardeDalt,08
082153,SantHipòlitdeVoltregà,08
082166,SantJaumedeFrontanyà,08
082172,SantJoanDespí,08
082188,SantJoandeVilatorrada,08
082191,VilassardeMar,08
082205,SantJuliàdeVilatorta,08
082212,SantJustDesvern,08
082227,SantLlorençdHortons,08
082233,SantLlorençSavall,08
